"","chi","xi","admissible"
"1",-0.99,0.01,FALSE
"2",-0.97,0.01,FALSE
"3",-0.95,0.01,FALSE
"4",-0.93,0.01,FALSE
"5",-0.91,0.01,FALSE
"6",-0.89,0.01,FALSE
"7",-0.87,0.01,FALSE
"8",-0.85,0.01,FALSE
"9",-0.83,0.01,FALSE
"10",-0.81,0.01,FALSE
"11",-0.79,0.01,FALSE
"12",-0.77,0.01,FALSE
"13",-0.75,0.01,FALSE
"14",-0.73,0.01,FALSE
"15",-0.71,0.01,FALSE
"16",-0.69,0.01,FALSE
"17",-0.67,0.01,FALSE
"18",-0.65,0.01,FALSE
"19",-0.63,0.01,FALSE
"20",-0.61,0.01,FALSE
"21",-0.59,0.01,FALSE
"22",-0.57,0.01,FALSE
"23",-0.55,0.01,FALSE
"24",-0.53,0.01,FALSE
"25",-0.51,0.01,FALSE
"26",-0.49,0.01,FALSE
"27",-0.47,0.01,FALSE
"28",-0.45,0.01,FALSE
"29",-0.43,0.01,FALSE
"30",-0.41,0.01,FALSE
"31",-0.39,0.01,FALSE
"32",-0.37,0.01,FALSE
"33",-0.35,0.01,FALSE
"34",-0.33,0.01,FALSE
"35",-0.31,0.01,FALSE
"36",-0.29,0.01,FALSE
"37",-0.27,0.01,FALSE
"38",-0.25,0.01,FALSE
"39",-0.23,0.01,FALSE
"40",-0.21,0.01,FALSE
"41",-0.19,0.01,FALSE
"42",-0.17,0.01,FALSE
"43",-0.15,0.01,FALSE
"44",-0.13,0.01,FALSE
"45",-0.11,0.01,FALSE
"46",-0.09,0.01,FALSE
"47",-0.07,0.01,FALSE
"48",-0.0499999999999999,0.01,FALSE
"49",-0.03,0.01,FALSE
"50",-0.01,0.01,FALSE
"51",0.01,0.01,FALSE
"52",0.03,0.01,FALSE
"53",0.05,0.01,FALSE
"54",0.0700000000000001,0.01,FALSE
"55",0.0900000000000001,0.01,FALSE
"56",0.11,0.01,FALSE
"57",0.13,0.01,FALSE
"58",0.15,0.01,FALSE
"59",0.17,0.01,FALSE
"60",0.19,0.01,FALSE
"61",0.21,0.01,FALSE
"62",0.23,0.01,FALSE
"63",0.25,0.01,FALSE
"64",0.27,0.01,FALSE
"65",0.29,0.01,FALSE
"66",0.31,0.01,FALSE
"67",0.33,0.01,FALSE
"68",0.35,0.01,FALSE
"69",0.37,0.01,FALSE
"70",0.39,0.01,FALSE
"71",0.41,0.01,FALSE
"72",0.43,0.01,FALSE
"73",0.45,0.01,FALSE
"74",0.47,0.01,FALSE
"75",0.49,0.01,FALSE
"76",0.51,0.01,FALSE
"77",0.53,0.01,FALSE
"78",0.55,0.01,FALSE
"79",0.57,0.01,FALSE
"80",0.59,0.01,FALSE
"81",0.61,0.01,FALSE
"82",0.63,0.01,FALSE
"83",0.65,0.01,FALSE
"84",0.67,0.01,FALSE
"85",0.69,0.01,FALSE
"86",0.71,0.01,FALSE
"87",0.73,0.01,FALSE
"88",0.75,0.01,FALSE
"89",0.77,0.01,FALSE
"90",0.79,0.01,FALSE
"91",0.81,0.01,FALSE
"92",0.83,0.01,FALSE
"93",0.85,0.01,FALSE
"94",0.87,0.01,FALSE
"95",0.89,0.01,FALSE
"96",0.91,0.01,FALSE
"97",0.93,0.01,FALSE
"98",0.95,0.01,FALSE
"99",0.97,0.01,FALSE
"100",0.99,0.01,FALSE
"101",-0.99,0.0198989898989899,FALSE
"102",-0.97,0.0198989898989899,FALSE
"103",-0.95,0.0198989898989899,FALSE
"104",-0.93,0.0198989898989899,FALSE
"105",-0.91,0.0198989898989899,FALSE
"106",-0.89,0.0198989898989899,FALSE
"107",-0.87,0.0198989898989899,FALSE
"108",-0.85,0.0198989898989899,FALSE
"109",-0.83,0.0198989898989899,FALSE
"110",-0.81,0.0198989898989899,FALSE
"111",-0.79,0.0198989898989899,FALSE
"112",-0.77,0.0198989898989899,FALSE
"113",-0.75,0.0198989898989899,FALSE
"114",-0.73,0.0198989898989899,FALSE
"115",-0.71,0.0198989898989899,FALSE
"116",-0.69,0.0198989898989899,FALSE
"117",-0.67,0.0198989898989899,FALSE
"118",-0.65,0.0198989898989899,FALSE
"119",-0.63,0.0198989898989899,FALSE
"120",-0.61,0.0198989898989899,FALSE
"121",-0.59,0.0198989898989899,FALSE
"122",-0.57,0.0198989898989899,FALSE
"123",-0.55,0.0198989898989899,FALSE
"124",-0.53,0.0198989898989899,FALSE
"125",-0.51,0.0198989898989899,FALSE
"126",-0.49,0.0198989898989899,FALSE
"127",-0.47,0.0198989898989899,FALSE
"128",-0.45,0.0198989898989899,FALSE
"129",-0.43,0.0198989898989899,FALSE
"130",-0.41,0.0198989898989899,FALSE
"131",-0.39,0.0198989898989899,FALSE
"132",-0.37,0.0198989898989899,FALSE
"133",-0.35,0.0198989898989899,FALSE
"134",-0.33,0.0198989898989899,FALSE
"135",-0.31,0.0198989898989899,FALSE
"136",-0.29,0.0198989898989899,FALSE
"137",-0.27,0.0198989898989899,FALSE
"138",-0.25,0.0198989898989899,FALSE
"139",-0.23,0.0198989898989899,FALSE
"140",-0.21,0.0198989898989899,FALSE
"141",-0.19,0.0198989898989899,FALSE
"142",-0.17,0.0198989898989899,FALSE
"143",-0.15,0.0198989898989899,FALSE
"144",-0.13,0.0198989898989899,FALSE
"145",-0.11,0.0198989898989899,FALSE
"146",-0.09,0.0198989898989899,FALSE
"147",-0.07,0.0198989898989899,FALSE
"148",-0.0499999999999999,0.0198989898989899,FALSE
"149",-0.03,0.0198989898989899,FALSE
"150",-0.01,0.0198989898989899,FALSE
"151",0.01,0.0198989898989899,FALSE
"152",0.03,0.0198989898989899,FALSE
"153",0.05,0.0198989898989899,FALSE
"154",0.0700000000000001,0.0198989898989899,FALSE
"155",0.0900000000000001,0.0198989898989899,FALSE
"156",0.11,0.0198989898989899,FALSE
"157",0.13,0.0198989898989899,FALSE
"158",0.15,0.0198989898989899,FALSE
"159",0.17,0.0198989898989899,FALSE
"160",0.19,0.0198989898989899,FALSE
"161",0.21,0.0198989898989899,FALSE
"162",0.23,0.0198989898989899,FALSE
"163",0.25,0.0198989898989899,FALSE
"164",0.27,0.0198989898989899,FALSE
"165",0.29,0.0198989898989899,FALSE
"166",0.31,0.0198989898989899,FALSE
"167",0.33,0.0198989898989899,FALSE
"168",0.35,0.0198989898989899,FALSE
"169",0.37,0.0198989898989899,FALSE
"170",0.39,0.0198989898989899,FALSE
"171",0.41,0.0198989898989899,FALSE
"172",0.43,0.0198989898989899,FALSE
"173",0.45,0.0198989898989899,FALSE
"174",0.47,0.0198989898989899,FALSE
"175",0.49,0.0198989898989899,FALSE
"176",0.51,0.0198989898989899,FALSE
"177",0.53,0.0198989898989899,FALSE
"178",0.55,0.0198989898989899,FALSE
"179",0.57,0.0198989898989899,FALSE
"180",0.59,0.0198989898989899,FALSE
"181",0.61,0.0198989898989899,FALSE
"182",0.63,0.0198989898989899,FALSE
"183",0.65,0.0198989898989899,FALSE
"184",0.67,0.0198989898989899,FALSE
"185",0.69,0.0198989898989899,FALSE
"186",0.71,0.0198989898989899,FALSE
"187",0.73,0.0198989898989899,FALSE
"188",0.75,0.0198989898989899,FALSE
"189",0.77,0.0198989898989899,FALSE
"190",0.79,0.0198989898989899,FALSE
"191",0.81,0.0198989898989899,FALSE
"192",0.83,0.0198989898989899,FALSE
"193",0.85,0.0198989898989899,FALSE
"194",0.87,0.0198989898989899,FALSE
"195",0.89,0.0198989898989899,FALSE
"196",0.91,0.0198989898989899,FALSE
"197",0.93,0.0198989898989899,FALSE
"198",0.95,0.0198989898989899,FALSE
"199",0.97,0.0198989898989899,FALSE
"200",0.99,0.0198989898989899,FALSE
"201",-0.99,0.0297979797979798,FALSE
"202",-0.97,0.0297979797979798,FALSE
"203",-0.95,0.0297979797979798,FALSE
"204",-0.93,0.0297979797979798,FALSE
"205",-0.91,0.0297979797979798,FALSE
"206",-0.89,0.0297979797979798,FALSE
"207",-0.87,0.0297979797979798,FALSE
"208",-0.85,0.0297979797979798,FALSE
"209",-0.83,0.0297979797979798,FALSE
"210",-0.81,0.0297979797979798,FALSE
"211",-0.79,0.0297979797979798,FALSE
"212",-0.77,0.0297979797979798,FALSE
"213",-0.75,0.0297979797979798,FALSE
"214",-0.73,0.0297979797979798,FALSE
"215",-0.71,0.0297979797979798,FALSE
"216",-0.69,0.0297979797979798,FALSE
"217",-0.67,0.0297979797979798,FALSE
"218",-0.65,0.0297979797979798,FALSE
"219",-0.63,0.0297979797979798,FALSE
"220",-0.61,0.0297979797979798,FALSE
"221",-0.59,0.0297979797979798,FALSE
"222",-0.57,0.0297979797979798,FALSE
"223",-0.55,0.0297979797979798,FALSE
"224",-0.53,0.0297979797979798,FALSE
"225",-0.51,0.0297979797979798,FALSE
"226",-0.49,0.0297979797979798,FALSE
"227",-0.47,0.0297979797979798,FALSE
"228",-0.45,0.0297979797979798,FALSE
"229",-0.43,0.0297979797979798,FALSE
"230",-0.41,0.0297979797979798,FALSE
"231",-0.39,0.0297979797979798,FALSE
"232",-0.37,0.0297979797979798,FALSE
"233",-0.35,0.0297979797979798,FALSE
"234",-0.33,0.0297979797979798,FALSE
"235",-0.31,0.0297979797979798,FALSE
"236",-0.29,0.0297979797979798,FALSE
"237",-0.27,0.0297979797979798,FALSE
"238",-0.25,0.0297979797979798,FALSE
"239",-0.23,0.0297979797979798,FALSE
"240",-0.21,0.0297979797979798,FALSE
"241",-0.19,0.0297979797979798,FALSE
"242",-0.17,0.0297979797979798,FALSE
"243",-0.15,0.0297979797979798,FALSE
"244",-0.13,0.0297979797979798,FALSE
"245",-0.11,0.0297979797979798,FALSE
"246",-0.09,0.0297979797979798,FALSE
"247",-0.07,0.0297979797979798,FALSE
"248",-0.0499999999999999,0.0297979797979798,FALSE
"249",-0.03,0.0297979797979798,FALSE
"250",-0.01,0.0297979797979798,FALSE
"251",0.01,0.0297979797979798,FALSE
"252",0.03,0.0297979797979798,FALSE
"253",0.05,0.0297979797979798,FALSE
"254",0.0700000000000001,0.0297979797979798,FALSE
"255",0.0900000000000001,0.0297979797979798,FALSE
"256",0.11,0.0297979797979798,FALSE
"257",0.13,0.0297979797979798,FALSE
"258",0.15,0.0297979797979798,FALSE
"259",0.17,0.0297979797979798,FALSE
"260",0.19,0.0297979797979798,FALSE
"261",0.21,0.0297979797979798,FALSE
"262",0.23,0.0297979797979798,FALSE
"263",0.25,0.0297979797979798,FALSE
"264",0.27,0.0297979797979798,FALSE
"265",0.29,0.0297979797979798,FALSE
"266",0.31,0.0297979797979798,FALSE
"267",0.33,0.0297979797979798,FALSE
"268",0.35,0.0297979797979798,FALSE
"269",0.37,0.0297979797979798,FALSE
"270",0.39,0.0297979797979798,FALSE
"271",0.41,0.0297979797979798,FALSE
"272",0.43,0.0297979797979798,FALSE
"273",0.45,0.0297979797979798,FALSE
"274",0.47,0.0297979797979798,FALSE
"275",0.49,0.0297979797979798,FALSE
"276",0.51,0.0297979797979798,FALSE
"277",0.53,0.0297979797979798,FALSE
"278",0.55,0.0297979797979798,FALSE
"279",0.57,0.0297979797979798,FALSE
"280",0.59,0.0297979797979798,FALSE
"281",0.61,0.0297979797979798,FALSE
"282",0.63,0.0297979797979798,FALSE
"283",0.65,0.0297979797979798,FALSE
"284",0.67,0.0297979797979798,FALSE
"285",0.69,0.0297979797979798,FALSE
"286",0.71,0.0297979797979798,FALSE
"287",0.73,0.0297979797979798,FALSE
"288",0.75,0.0297979797979798,FALSE
"289",0.77,0.0297979797979798,FALSE
"290",0.79,0.0297979797979798,FALSE
"291",0.81,0.0297979797979798,FALSE
"292",0.83,0.0297979797979798,FALSE
"293",0.85,0.0297979797979798,FALSE
"294",0.87,0.0297979797979798,FALSE
"295",0.89,0.0297979797979798,FALSE
"296",0.91,0.0297979797979798,FALSE
"297",0.93,0.0297979797979798,FALSE
"298",0.95,0.0297979797979798,FALSE
"299",0.97,0.0297979797979798,FALSE
"300",0.99,0.0297979797979798,FALSE
"301",-0.99,0.0396969696969697,FALSE
"302",-0.97,0.0396969696969697,FALSE
"303",-0.95,0.0396969696969697,FALSE
"304",-0.93,0.0396969696969697,FALSE
"305",-0.91,0.0396969696969697,FALSE
"306",-0.89,0.0396969696969697,FALSE
"307",-0.87,0.0396969696969697,FALSE
"308",-0.85,0.0396969696969697,FALSE
"309",-0.83,0.0396969696969697,FALSE
"310",-0.81,0.0396969696969697,FALSE
"311",-0.79,0.0396969696969697,FALSE
"312",-0.77,0.0396969696969697,FALSE
"313",-0.75,0.0396969696969697,FALSE
"314",-0.73,0.0396969696969697,FALSE
"315",-0.71,0.0396969696969697,FALSE
"316",-0.69,0.0396969696969697,FALSE
"317",-0.67,0.0396969696969697,FALSE
"318",-0.65,0.0396969696969697,FALSE
"319",-0.63,0.0396969696969697,FALSE
"320",-0.61,0.0396969696969697,FALSE
"321",-0.59,0.0396969696969697,FALSE
"322",-0.57,0.0396969696969697,FALSE
"323",-0.55,0.0396969696969697,FALSE
"324",-0.53,0.0396969696969697,FALSE
"325",-0.51,0.0396969696969697,FALSE
"326",-0.49,0.0396969696969697,FALSE
"327",-0.47,0.0396969696969697,FALSE
"328",-0.45,0.0396969696969697,FALSE
"329",-0.43,0.0396969696969697,FALSE
"330",-0.41,0.0396969696969697,FALSE
"331",-0.39,0.0396969696969697,FALSE
"332",-0.37,0.0396969696969697,FALSE
"333",-0.35,0.0396969696969697,FALSE
"334",-0.33,0.0396969696969697,FALSE
"335",-0.31,0.0396969696969697,FALSE
"336",-0.29,0.0396969696969697,FALSE
