"","chi","xi","admissible"
"1",-0.99,0.01,FALSE
"2",-0.97,0.01,TRUE
"3",-0.95,0.01,TRUE
"4",-0.93,0.01,TRUE
"5",-0.91,0.01,TRUE
"6",-0.89,0.01,TRUE
"7",-0.87,0.01,TRUE
"8",-0.85,0.01,TRUE
"9",-0.83,0.01,TRUE
"10",-0.81,0.01,TRUE
"11",-0.79,0.01,TRUE
"12",-0.77,0.01,TRUE
"13",-0.75,0.01,TRUE
"14",-0.73,0.01,TRUE
"15",-0.71,0.01,TRUE
"16",-0.69,0.01,TRUE
"17",-0.67,0.01,TRUE
"18",-0.65,0.01,TRUE
"19",-0.63,0.01,TRUE
"20",-0.61,0.01,TRUE
"21",-0.59,0.01,TRUE
"22",-0.57,0.01,TRUE
"23",-0.55,0.01,TRUE
"24",-0.53,0.01,TRUE
"25",-0.51,0.01,TRUE
"26",-0.49,0.01,TRUE
"27",-0.47,0.01,TRUE
"28",-0.45,0.01,TRUE
"29",-0.43,0.01,TRUE
"30",-0.41,0.01,TRUE
"31",-0.39,0.01,TRUE
"32",-0.37,0.01,TRUE
"33",-0.35,0.01,TRUE
"34",-0.33,0.01,TRUE
"35",-0.31,0.01,TRUE
"36",-0.29,0.01,TRUE
"37",-0.27,0.01,TRUE
"38",-0.25,0.01,TRUE
"39",-0.23,0.01,TRUE
"40",-0.21,0.01,TRUE
"41",-0.19,0.01,TRUE
"42",-0.17,0.01,TRUE
"43",-0.15,0.01,TRUE
"44",-0.13,0.01,TRUE
"45",-0.11,0.01,TRUE
"46",-0.09,0.01,TRUE
"47",-0.07,0.01,TRUE
"48",-0.0499999999999999,0.01,TRUE
"49",-0.03,0.01,TRUE
"50",-0.01,0.01,TRUE
"51",0.01,0.01,TRUE
"52",0.03,0.01,TRUE
"53",0.05,0.01,TRUE
"54",0.0700000000000001,0.01,TRUE
"55",0.0900000000000001,0.01,TRUE
"56",0.11,0.01,TRUE
"57",0.13,0.01,TRUE
"58",0.15,0.01,TRUE
"59",0.17,0.01,TRUE
"60",0.19,0.01,TRUE
"61",0.21,0.01,TRUE
"62",0.23,0.01,TRUE
"63",0.25,0.01,TRUE
"64",0.27,0.01,TRUE
"65",0.29,0.01,TRUE
"66",0.31,0.01,TRUE
"67",0.33,0.01,TRUE
"68",0.35,0.01,TRUE
"69",0.37,0.01,TRUE
"70",0.39,0.01,TRUE
"71",0.41,0.01,TRUE
"72",0.43,0.01,TRUE
"73",0.45,0.01,TRUE
"74",0.47,0.01,TRUE
"75",0.49,0.01,TRUE
"76",0.51,0.01,TRUE
"77",0.53,0.01,TRUE
"78",0.55,0.01,TRUE
"79",0.57,0.01,TRUE
"80",0.59,0.01,TRUE
"81",0.61,0.01,TRUE
"82",0.63,0.01,TRUE
"83",0.65,0.01,TRUE
"84",0.67,0.01,TRUE
"85",0.69,0.01,TRUE
"86",0.71,0.01,TRUE
"87",0.73,0.01,TRUE
"88",0.75,0.01,TRUE
"89",0.77,0.01,TRUE
"90",0.79,0.01,TRUE
"91",0.81,0.01,TRUE
"92",0.83,0.01,TRUE
"93",0.85,0.01,TRUE
"94",0.87,0.01,TRUE
"95",0.89,0.01,TRUE
"96",0.91,0.01,TRUE
"97",0.93,0.01,TRUE
"98",0.95,0.01,TRUE
"99",0.97,0.01,TRUE
"100",0.99,0.01,FALSE
"101",-0.99,0.0198989898989899,FALSE
"102",-0.97,0.0198989898989899,TRUE
"103",-0.95,0.0198989898989899,TRUE
"104",-0.93,0.0198989898989899,TRUE
"105",-0.91,0.0198989898989899,TRUE
"106",-0.89,0.0198989898989899,TRUE
"107",-0.87,0.0198989898989899,TRUE
"108",-0.85,0.0198989898989899,TRUE
"109",-0.83,0.0198989898989899,TRUE
"110",-0.81,0.0198989898989899,TRUE
"111",-0.79,0.0198989898989899,TRUE
"112",-0.77,0.0198989898989899,TRUE
"113",-0.75,0.0198989898989899,TRUE
"114",-0.73,0.0198989898989899,TRUE
"115",-0.71,0.0198989898989899,TRUE
"116",-0.69,0.0198989898989899,TRUE
"117",-0.67,0.0198989898989899,TRUE
"118",-0.65,0.0198989898989899,TRUE
"119",-0.63,0.0198989898989899,TRUE
"120",-0.61,0.0198989898989899,TRUE
"121",-0.59,0.0198989898989899,TRUE
"122",-0.57,0.0198989898989899,TRUE
"123",-0.55,0.0198989898989899,TRUE
"124",-0.53,0.0198989898989899,TRUE
"125",-0.51,0.0198989898989899,TRUE
"126",-0.49,0.0198989898989899,TRUE
"127",-0.47,0.0198989898989899,TRUE
"128",-0.45,0.0198989898989899,TRUE
"129",-0.43,0.0198989898989899,TRUE
"130",-0.41,0.0198989898989899,TRUE
"131",-0.39,0.0198989898989899,TRUE
"132",-0.37,0.0198989898989899,TRUE
"133",-0.35,0.0198989898989899,TRUE
"134",-0.33,0.0198989898989899,TRUE
"135",-0.31,0.0198989898989899,TRUE
"136",-0.29,0.0198989898989899,TRUE
"137",-0.27,0.0198989898989899,TRUE
"138",-0.25,0.0198989898989899,TRUE
"139",-0.23,0.0198989898989899,TRUE
"140",-0.21,0.0198989898989899,TRUE
"141",-0.19,0.0198989898989899,TRUE
"142",-0.17,0.0198989898989899,TRUE
"143",-0.15,0.0198989898989899,TRUE
"144",-0.13,0.0198989898989899,TRUE
"145",-0.11,0.0198989898989899,TRUE
"146",-0.09,0.0198989898989899,TRUE
"147",-0.07,0.0198989898989899,TRUE
"148",-0.0499999999999999,0.0198989898989899,TRUE
"149",-0.03,0.0198989898989899,TRUE
"150",-0.01,0.0198989898989899,TRUE
"151",0.01,0.0198989898989899,TRUE
"152",0.03,0.0198989898989899,TRUE
"153",0.05,0.0198989898989899,TRUE
"154",0.0700000000000001,0.0198989898989899,TRUE
"155",0.0900000000000001,0.0198989898989899,TRUE
"156",0.11,0.0198989898989899,TRUE
"157",0.13,0.0198989898989899,TRUE
"158",0.15,0.0198989898989899,TRUE
"159",0.17,0.0198989898989899,TRUE
"160",0.19,0.0198989898989899,TRUE
"161",0.21,0.0198989898989899,TRUE
"162",0.23,0.0198989898989899,TRUE
"163",0.25,0.0198989898989899,TRUE
"164",0.27,0.0198989898989899,TRUE
"165",0.29,0.0198989898989899,TRUE
"166",0.31,0.0198989898989899,TRUE
"167",0.33,0.0198989898989899,TRUE
"168",0.35,0.0198989898989899,TRUE
"169",0.37,0.0198989898989899,TRUE
"170",0.39,0.0198989898989899,TRUE
"171",0.41,0.0198989898989899,TRUE
"172",0.43,0.0198989898989899,TRUE
"173",0.45,0.0198989898989899,TRUE
"174",0.47,0.0198989898989899,TRUE
"175",0.49,0.0198989898989899,TRUE
"176",0.51,0.0198989898989899,TRUE
"177",0.53,0.0198989898989899,TRUE
"178",0.55,0.0198989898989899,TRUE
"179",0.57,0.0198989898989899,TRUE
"180",0.59,0.0198989898989899,TRUE
"181",0.61,0.0198989898989899,TRUE
"182",0.63,0.0198989898989899,TRUE
"183",0.65,0.0198989898989899,TRUE
"184",0.67,0.0198989898989899,TRUE
"185",0.69,0.0198989898989899,TRUE
"186",0.71,0.0198989898989899,TRUE
"187",0.73,0.0198989898989899,TRUE
"188",0.75,0.0198989898989899,TRUE
"189",0.77,0.0198989898989899,TRUE
"190",0.79,0.0198989898989899,TRUE
"191",0.81,0.0198989898989899,TRUE
"192",0.83,0.0198989898989899,TRUE
"193",0.85,0.0198989898989899,TRUE
"194",0.87,0.0198989898989899,TRUE
"195",0.89,0.0198989898989899,TRUE
"196",0.91,0.0198989898989899,TRUE
"197",0.93,0.0198989898989899,TRUE
"198",0.95,0.0198989898989899,TRUE
"199",0.97,0.0198989898989899,FALSE
"200",0.99,0.0198989898989899,FALSE
"201",-0.99,0.0297979797979798,FALSE
"202",-0.97,0.0297979797979798,FALSE
"203",-0.95,0.0297979797979798,TRUE
"204",-0.93,0.0297979797979798,TRUE
"205",-0.91,0.0297979797979798,TRUE
"206",-0.89,0.0297979797979798,TRUE
