"","sigma","n","coverage","width"
"1",0.5,30,1,1.1573182889687
"2",1,30,1,2.38539958434416
"3",2,30,1,4.78003571992877
"4",0.5,40,1,1.08912040667357
"5",1,40,1,2.10883340369022
"6",2,40,1,4.11196453699478
"7",0.5,50,1,0.995860846022899
"8",1,50,1,2.04109561492453
"9",2,50,1,4.06014919504005
"10",0.5,60,1,0.857893168664506
"11",1,60,1,1.66635722747665
"12",2,60,1,3.43164150432265
"13",0.5,70,1,0.763588286170685
"14",1,70,1,1.54763567458645
"15",2,70,1,3.06653995432479
"16",0.5,80,1,0.759470832183938
"17",1,80,1,1.54132196731834
"18",2,80,1,3.02515336088463
"19",0.5,90,1,0.702897480844184
"20",1,90,1,1.37241473081456
"21",2,90,1,2.76122452470605
"22",0.5,100,1,0.66085621312324
"23",1,100,1,1.28207517063737
"24",2,100,1,2.61027971875473
