"","lambda","n","source","metric","value"
"1",-2,"n = 50","DW","coverage",0.99
"2",-2,"n = 50","DW","width",2.15731476688614
"3",-2,"n = 100","DW","coverage",0.97
"4",-2,"n = 100","DW","width",1.33634806353276
"5",-2,"n = 250","DW","coverage",0.98
"6",-2,"n = 250","DW","width",0.796153211667941
"7",-2,"n = 1000","DW","coverage",0.96
"8",-2,"n = 1000","DW","width",0.364622164204706
"9",-1,"n = 50","DW","coverage",0.99
"10",-1,"n = 50","DW","width",1.55535413940944
"11",-1,"n = 100","DW","coverage",0.99
"12",-1,"n = 100","DW","width",0.948834356020086
"13",-1,"n = 250","DW","coverage",0.96
"14",-1,"n = 250","DW","width",0.54290191413536
"15",-1,"n = 1000","DW","coverage",0.98
"16",-1,"n = 1000","DW","width",0.25987491503085
"17",0,"n = 50","DW","coverage",0.98
"18",0,"n = 50","DW","width",0.814448472777084
"19",0,"n = 100","DW","coverage",0.97
"20",0,"n = 100","DW","width",0.477119182316693
"21",0,"n = 250","DW","coverage",0.97
"22",0,"n = 250","DW","width",0.29146144073766
"23",0,"n = 1000","DW","coverage",0.98
"24",0,"n = 1000","DW","width",0.128418664526102
"25",1,"n = 50","DW","coverage",1
"26",1,"n = 50","DW","width",0.400963690236294
"27",1,"n = 100","DW","coverage",1
"28",1,"n = 100","DW","width",0.190766526108626
"29",1,"n = 250","DW","coverage",0.95
"30",1,"n = 250","DW","width",0.0748321223794219
"31",1,"n = 1000","DW","coverage",0.95
"32",1,"n = 1000","DW","width",0.00742825930193799
"33",2,"n = 50","DW","coverage",0.98
"34",2,"n = 50","DW","width",0.494571593321389
"35",2,"n = 100","DW","coverage",0.99
"36",2,"n = 100","DW","width",0.269967879256113
"37",2,"n = 250","DW","coverage",0.98
"38",2,"n = 250","DW","width",0.118872275112133
"39",2,"n = 1000","DW","coverage",0.96
"40",2,"n = 1000","DW","width",0.0324772883731861
"41",-2,"n = 50","DKW","coverage",0.97
"42",-2,"n = 50","DKW","width",2.33480517549505
"43",-2,"n = 100","DKW","coverage",0.98
"44",-2,"n = 100","DKW","width",1.59952507394711
"45",-2,"n = 250","DKW","coverage",0.97
"46",-2,"n = 250","DKW","width",0.867610265677232
"47",-2,"n = 1000","DKW","coverage",0.97
"48",-2,"n = 1000","DKW","width",0.4535367881753
"49",-1,"n = 50","DKW","coverage",0.98
"50",-1,"n = 50","DKW","width",1.73099091313122
"51",-1,"n = 100","DKW","coverage",0.97
"52",-1,"n = 100","DKW","width",1.191858253581
"53",-1,"n = 250","DKW","coverage",0.97
"54",-1,"n = 250","DKW","width",0.71329218947415
"55",-1,"n = 1000","DKW","coverage",0.95
"56",-1,"n = 1000","DKW","width",0.329118808304879
"57",0,"n = 50","DKW","coverage",0.98
"58",0,"n = 50","DKW","width",0.927255001680833
"59",0,"n = 100","DKW","coverage",0.99
"60",0,"n = 100","DKW","width",0.641777913747321
"61",0,"n = 250","DKW","coverage",0.97
"62",0,"n = 250","DKW","width",0.406707289371722
"63",0,"n = 1000","DKW","coverage",0.99
"64",0,"n = 1000","DKW","width",0.198832992918389
"65",1,"n = 50","DKW","coverage",0.96
"66",1,"n = 50","DKW","width",0.502335907086618
"67",1,"n = 100","DKW","coverage",0.91
"68",1,"n = 100","DKW","width",0.295626272732311
"69",1,"n = 250","DKW","coverage",0.95
"70",1,"n = 250","DKW","width",0.17355125014971
"71",1,"n = 1000","DKW","coverage",0.96
"72",1,"n = 1000","DKW","width",0.0803483653954857
"73",2,"n = 50","DKW","coverage",0.98
"74",2,"n = 50","DKW","width",0.637571027476141
"75",2,"n = 100","DKW","coverage",0.97
"76",2,"n = 100","DKW","width",0.419788208266579
"77",2,"n = 250","DKW","coverage",0.97
"78",2,"n = 250","DKW","width",0.239875906241057
"79",2,"n = 1000","DKW","coverage",0.98
"80",2,"n = 1000","DKW","width",0.113678550172392
