"","lambda","n","source","metric","value"
"1",-1,"n = 50","DW","coverage",0.96
"2",-1,"n = 50","DW","width",1.46152940116023
"3",-1,"n = 100","DW","coverage",1
"4",-1,"n = 100","DW","width",0.891771195341924
"5",-1,"n = 250","DW","coverage",0.97
"6",-1,"n = 250","DW","width",0.519333521705223
"7",-1,"n = 1000","DW","coverage",0.96
"8",-1,"n = 1000","DW","width",0.25127210215183
"9",-0.5,"n = 50","DW","coverage",1
"10",-0.5,"n = 50","DW","width",1.16919726008314
"11",-0.5,"n = 100","DW","coverage",0.96
"12",-0.5,"n = 100","DW","width",0.704884729155847
"13",-0.5,"n = 250","DW","coverage",0.97
"14",-0.5,"n = 250","DW","width",0.411199531644263
"15",-0.5,"n = 1000","DW","coverage",0.98
"16",-0.5,"n = 1000","DW","width",0.19723091171769
"17",0,"n = 50","DW","coverage",0.96
"18",0,"n = 50","DW","width",0.815230384110055
"19",0,"n = 100","DW","coverage",0.97
"20",0,"n = 100","DW","width",0.485727574056105
"21",0,"n = 250","DW","coverage",0.97
"22",0,"n = 250","DW","width",0.27734718308591
"23",0,"n = 1000","DW","coverage",0.98
"24",0,"n = 1000","DW","width",0.128524415138492
"25",0.5,"n = 50","DW","coverage",0.99
"26",0.5,"n = 50","DW","width",0.50634842530526
"27",0.5,"n = 100","DW","coverage",0.99
"28",0.5,"n = 100","DW","width",0.271302390014948
"29",0.5,"n = 250","DW","coverage",0.98
"30",0.5,"n = 250","DW","width",0.131929501088826
"31",0.5,"n = 1000","DW","coverage",0.97
"32",0.5,"n = 1000","DW","width",0.0472970138599525
"33",1,"n = 50","DW","coverage",0.97
"34",1,"n = 50","DW","width",0.390509971644938
"35",1,"n = 100","DW","coverage",0.96
"36",1,"n = 100","DW","width",0.183832508324027
"37",1,"n = 250","DW","coverage",1
"38",1,"n = 250","DW","width",0.0768826187482536
"39",1,"n = 1000","DW","coverage",0.97
"40",1,"n = 1000","DW","width",-0.0163144166527973
"41",-1,"n = 50","quant(NP boot)","coverage",0.96
"42",-1,"n = 50","quant(NP boot)","width",1.40528938530757
"43",-1,"n = 100","quant(NP boot)","coverage",0.97
"44",-1,"n = 100","quant(NP boot)","width",0.784253044188044
"45",-1,"n = 250","quant(NP boot)","coverage",0.97
"46",-1,"n = 250","quant(NP boot)","width",0.482888097251282
"47",-1,"n = 1000","quant(NP boot)","coverage",0.95
"48",-1,"n = 1000","quant(NP boot)","width",0.222178853055344
"49",-0.5,"n = 50","quant(NP boot)","coverage",0.94
"50",-0.5,"n = 50","quant(NP boot)","width",1.36924625456624
"51",-0.5,"n = 100","quant(NP boot)","coverage",0.97
"52",-0.5,"n = 100","quant(NP boot)","width",0.76534369787502
"53",-0.5,"n = 250","quant(NP boot)","coverage",0.96
"54",-0.5,"n = 250","quant(NP boot)","width",0.434894486505199
"55",-0.5,"n = 1000","quant(NP boot)","coverage",0.94
"56",-0.5,"n = 1000","quant(NP boot)","width",0.199826281593735
"57",0,"n = 50","quant(NP boot)","coverage",0.98
"58",0,"n = 50","quant(NP boot)","width",1.32817356208304
"59",0,"n = 100","quant(NP boot)","coverage",0.96
"60",0,"n = 100","quant(NP boot)","width",0.756316226204789
"61",0,"n = 250","quant(NP boot)","coverage",0.98
"62",0,"n = 250","quant(NP boot)","width",0.39216997272978
"63",0,"n = 1000","quant(NP boot)","coverage",0.94
"64",0,"n = 1000","quant(NP boot)","width",0.181076631655217
"65",0.5,"n = 50","quant(NP boot)","coverage",0.95
"66",0.5,"n = 50","quant(NP boot)","width",1.28439016475563
"67",0.5,"n = 100","quant(NP boot)","coverage",0.98
"68",0.5,"n = 100","quant(NP boot)","width",0.685881647138158
"69",0.5,"n = 250","quant(NP boot)","coverage",0.96
"70",0.5,"n = 250","quant(NP boot)","width",0.378413934538567
"71",0.5,"n = 1000","quant(NP boot)","coverage",0.97
"72",0.5,"n = 1000","quant(NP boot)","width",0.176031680033462
"73",1,"n = 50","quant(NP boot)","coverage",0.95
"74",1,"n = 50","quant(NP boot)","width",1.33318498453003
"75",1,"n = 100","quant(NP boot)","coverage",0.97
"76",1,"n = 100","quant(NP boot)","width",0.692943845589665
"77",1,"n = 250","quant(NP boot)","coverage",0.95
"78",1,"n = 250","quant(NP boot)","width",0.391551897139774
"79",1,"n = 1000","quant(NP boot)","coverage",1
"80",1,"n = 1000","quant(NP boot)","width",0.170565724299339
"81",-1,"n = 50","quant(P boot)","coverage",0.89
"82",-1,"n = 50","quant(P boot)","width",1.07044055298512
"83",-1,"n = 100","quant(P boot)","coverage",0.93
"84",-1,"n = 100","quant(P boot)","width",0.717582710402737
